Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0,000000 kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;Station01;TEMPERATURE
3 ene. 2022;16:30:00;0;64,0022;9,877
3 ene. 2022;16:45:00;0;64,0072;9,869
3 ene. 2022;17:00:00;0;64,0073;9,856
3 ene. 2022;17:15:00;0;64,0099;9,850
3 ene. 2022;17:30:00;0;64,0138;9,850
3 ene. 2022;17:45:00;0;64,0159;9,842
3 ene. 2022;18:00:00;0;64,0232;9,835
3 ene. 2022;18:15:00;0;64,0348;9,814
3 ene. 2022;18:30:00;0;64,0442;9,805
3 ene. 2022;18:45:00;0;64,0441;9,800
3 ene. 2022;19:00:00;0;64,0513;9,785
3 ene. 2022;19:15:00;0;64,0596;9,774
3 ene. 2022;19:30:00;0;64,0732;9,737
3 ene. 2022;19:45:00;0;64,0740;9,719
3 ene. 2022;20:00:00;0;64,0749;9,688
3 ene. 2022;20:15:00;0;64,0908;9,663
3 ene. 2022;20:30:00;0;64,1053;9,631
3 ene. 2022;20:45:00;0;64,1135;9,602
3 ene. 2022;21:00:00;0;64,1262;9,586
3 ene. 2022;21:15:00;0;64,1316;9,586
3 ene. 2022;21:30:00;0;64,1325;9,563
3 ene. 2022;21:45:00;0;64,1281;9,539
3 ene. 2022;22:00:00;0;64,1246;9,475
3 ene. 2022;22:15:00;0;64,1248;9,431
3 ene. 2022;22:30:00;0;64,1243;9,361
3 ene. 2022;22:45:00;0;64,1224;9,318
3 ene. 2022;23:00:00;0;64,1101;9,279
3 ene. 2022;23:15:00;0;64,1162;9,224
3 ene. 2022;23:30:00;0;64,1081;9,182
