OBJECTID,pointid,grid_code,RASTERVALU
1886,1886,4104.63916,4104.63916
1887,1887,4104.543457,4104.543457
1888,1888,4104.643555,4104.643555
1889,1889,4104.505371,4104.505371
1890,1890,4104.768555,4104.768555
1891,1891,4104.512207,4104.512207
1892,1892,4104.768555,4104.768555
1893,1893,4104.512207,4104.512207
1894,1894,4104.533203,4104.533203
1895,1895,4104.45459,4104.45459
1896,1896,4104.41748,4104.41748
1897,1897,4104.291016,4104.291016
1898,1898,4104.281738,4104.281738
1899,1899,4104.28125,4104.28125
1900,1900,4104.281738,4104.281738
1901,1901,4104.280762,4104.280762
1902,1902,4104.280762,4104.280762
1903,1903,4104.280762,4104.280762
1904,1904,4104.280762,4104.280762
1905,1905,4104.279785,4104.279785
1906,1906,4104.280762,4104.280762
1907,1907,4104.275391,4104.275391
1908,1908,4104.27832,4104.27832
1909,1909,4104.241211,4104.241211
1910,1910,4104.273926,4104.273926
1911,1911,4104.148926,4104.148926
1912,1912,4104.241211,4104.241211
1913,1913,4104.178223,4104.178223
1914,1914,4104.129883,4104.129883
1915,1915,4104.23291,4104.23291
1916,1916,4104.101074,4104.101074
1917,1917,4104.157715,4104.157715
1918,1918,4104.072754,4104.072754
1919,1919,4104.10498,4104.10498
1920,1920,4103.879883,4103.879883
1921,1921,4104.04248,4104.04248
1922,1922,4103.718262,4103.718262
1923,1923,4103.770508,4103.770508
1924,1924,4103.683594,4103.683594
1925,1925,4103.692871,4103.692871
1926,1926,4103.681641,4103.681641
1927,1927,4103.596191,4103.596191
1928,1928,4103.681641,4103.681641
1929,1929,4103.596191,4103.596191
1930,1930,4103.596191,4103.596191
1931,1931,4103.556152,4103.556152
1932,1932,4103.596191,4103.596191
1933,1933,4103.556152,4103.556152
1934,1934,4103.556152,4103.556152
1935,1935,4103.438477,4103.438477
1936,1936,4103.461914,4103.461914
1937,1937,4103.438477,4103.438477
1938,1938,4103.438477,4103.438477
1939,1939,4103.438477,4103.438477
1940,1940,4102.95166,4102.95166
