OBJECTID,pointid,FloAccu,Ele,lat,lon
40,175488,16859,3983,-0.33613284,-78.19919289
41,175489,6162,3982,-0.33613274,-78.19884282
42,175490,4809,3982,-0.33613273,-78.1988159
43,175491,315,3982,-0.33613272,-78.19876204
44,175492,1488,3983,-0.3361325,-78.19800805
45,175493,47588,3983,-0.33613248,-78.19795419
46,175494,333,3986,-0.33613237,-78.1975772
47,175495,3827,3988,-0.33613231,-78.19736177
48,175496,543,4024,-0.33613193,-78.19604229
49,175549,314,4032,-0.33616056,-78.20129329
50,175550,362,4027,-0.33616049,-78.20107786
51,175551,390,4026,-0.33616049,-78.20105094
52,175552,392,4025,-0.33616048,-78.20102401
53,175553,393,4024,-0.33616047,-78.20099708
54,175554,394,4023,-0.33616046,-78.20097015
55,175555,395,4022,-0.33616046,-78.20094322
56,175556,403,4020,-0.33616045,-78.20091629
57,175557,404,4019,-0.33616044,-78.20088937
58,175558,405,4018,-0.33616043,-78.20086244
59,175559,406,4017,-0.33616042,-78.20083551
60,175560,407,4016,-0.33616042,-78.20080858
61,175561,408,4015,-0.33616041,-78.20078165
62,175562,523,4013,-0.3361604,-78.20075472
63,175563,525,4012,-0.33616039,-78.2007278
64,175564,526,4011,-0.33616039,-78.20070087
65,175565,527,4010,-0.33616038,-78.20067394
66,175566,528,4009,-0.33616037,-78.20064701
67,175567,529,4008,-0.33616036,-78.20062008
68,175568,530,4007,-0.33616035,-78.20059315
69,175569,531,4005,-0.33616035,-78.20056623
70,175570,532,4004,-0.33616034,-78.2005393
71,175571,533,4003,-0.33616033,-78.20051237
72,175572,534,4002,-0.33616032,-78.20048544
73,175573,16862,3983,-0.33615995,-78.19919288
74,175574,10973,3982,-0.33615984,-78.19881589
