"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801151, SEN S/N: 10801151)","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Bad Battery (LGR S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
327,10/23/21 10:15:00 PM,3.998,0.0,,,,,
328,10/23/21 10:30:00 PM,3.155,0.0,,,,,
329,10/23/21 10:45:00 PM,2.837,0.0,,,,,
330,10/23/21 11:00:00 PM,2.410,0.0,,,,,
331,10/23/21 11:15:00 PM,2.303,0.0,,,,,
332,10/23/21 11:30:00 PM,2.088,0.0,,,,,
333,10/23/21 11:45:00 PM,2.088,0.0,,,,,
334,10/24/21 12:00:00 AM,2.303,0.0,,,,,
335,10/24/21 12:15:00 AM,1.764,0.0,,,,,
336,10/24/21 12:30:00 AM,1.221,0.0,,,,,
337,10/24/21 12:45:00 AM,0.674,0.0,,,,,
338,10/24/21 01:00:00 AM,0.563,0.0,,,,,
339,10/24/21 01:15:00 AM,0.453,0.0,,,,,
340,10/24/21 01:30:00 AM,0.343,0.0,,,,,
341,10/24/21 01:45:00 AM,0.563,0.0,,,,,
342,10/24/21 02:00:00 AM,0.453,0.0,,,,,
343,10/24/21 02:15:00 AM,0.232,0.0,,,,,
344,10/24/21 02:30:00 AM,0.453,0.0,,,,,
345,10/24/21 02:45:00 AM,0.453,0.0,,,,,
346,10/24/21 03:00:00 AM,0.563,0.0,,,,,
347,10/24/21 03:15:00 AM,0.453,0.0,,,,,
348,10/24/21 03:30:00 AM,0.453,0.0,,,,,
349,10/24/21 03:45:00 AM,0.232,0.0,,,,,
350,10/24/21 04:00:00 AM,0.010,0.0,,,,,
351,10/24/21 04:15:00 AM,-0.102,0.0,,,,,
352,10/24/21 04:30:00 AM,-0.213,0.0,,,,,
353,10/24/21 04:45:00 AM,-0.325,0.0,,,,,
354,10/24/21 05:00:00 AM,0.010,0.0,,,,,
355,10/24/21 05:15:00 AM,0.010,0.0,,,,,
356,10/24/21 05:30:00 AM,0.010,0.0,,,,,
357,10/24/21 05:45:00 AM,-0.213,10.8,,,,,
358,10/24/21 06:00:00 AM,0.010,344.4,,,,,
359,10/24/21 06:15:00 AM,-0.102,1216.3,,,,,
360,10/24/21 06:30:00 AM,0.010,2497.2,,,,,
361,10/24/21 06:45:00 AM,0.453,5166.7,,,,,
362,10/24/21 07:00:00 AM,1.112,9300.1,,,,,
363,10/24/21 07:15:00 AM,2.730,11711.2,,,,,
364,10/24/21 07:30:00 AM,5.655,17222.3,,,,,
365,10/24/21 07:45:00 AM,7.882,19289.0,,,,,
366,10/24/21 08:00:00 AM,8.680,18600.1,,,,,
367,10/24/21 08:15:00 AM,10.553,34444.7,,,,,
368,10/24/21 08:30:00 AM,12.013,34444.7,,,,,
369,10/24/21 08:45:00 AM,13.076,30311.3,,,,,
370,10/24/21 09:00:00 AM,13.750,12400.1,,,,,
371,10/24/21 09:15:00 AM,14.421,49600.3,,,,,
372,10/24/21 09:30:00 AM,14.038,121245.2,,,,,
373,10/24/21 09:45:00 AM,14.900,26178.0,,,,,
374,10/24/21 10:00:00 AM,15.569,57867.0,,,,,
375,10/24/21 10:15:00 AM,16.332,28933.5,,,,,
376,10/24/21 10:30:00 AM,20.901,126756.4,,,,,
377,10/24/21 10:45:00 AM,23.581,34444.7,,,,,
378,10/24/21 11:00:00 AM,20.901,34444.7,,,,,
379,10/24/21 11:15:00 AM,18.521,23422.4,,,,,
380,10/24/21 11:30:00 AM,20.043,115734.1,,,,,
381,10/24/21 11:45:00 AM,18.616,30311.3,,,,,
382,10/24/21 12:00:00 PM,26.097,110223.0,,,,,
383,10/24/21 12:15:00 PM,30.963,57867.0,,,,,
384,10/24/21 12:30:00 PM,35.115,209423.6,,,,,
385,10/24/21 12:45:00 PM,41.810,253512.8,,,,,
386,10/24/21 01:00:00 PM,35.649,30311.3,,,,,
387,10/24/21 01:15:00 PM,24.641,38578.0,,,,,
388,10/24/21 01:30:00 PM,19.853,22044.6,,,,,
389,10/24/21 01:45:00 PM,18.140,24800.2,,,,,
390,10/24/21 02:00:00 PM,15.951,17222.3,,,,,
391,10/24/21 02:15:00 PM,15.760,20666.8,,,,,
392,10/24/21 02:30:00 PM,14.900,8611.2,,,,,
393,10/24/21 02:45:00 PM,11.625,3961.1,,,,,
394,10/24/21 03:00:00 PM,10.063,1808.3,,,,,
395,10/24/21 03:15:00 PM,9.768,2411.1,,,,,
396,10/24/21 03:30:00 PM,9.965,6200.0,,,,,
397,10/24/21 03:45:00 PM,10.259,5511.1,,,,,
398,10/24/21 04:00:00 PM,9.768,3100.0,,,,,
399,10/24/21 04:15:00 PM,9.373,5166.7,,,,,
400,10/24/21 04:30:00 PM,10.357,13089.0,,,,,
401,10/24/21 04:45:00 PM,10.651,7577.8,,,,,
