"Plot Title: RogersRoad_LUX"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10801157, SEN S/N: 10801157)","Intensity, Lux (LGR S/N: 10801157, SEN S/N: 10801157)","Coupler Attached (LGR S/N: 10801157)","Host Connected (LGR S/N: 10801157)","Stopped (LGR S/N: 10801157)","End Of File (LGR S/N: 10801157)"
361,07/10/21 02:50:00 PM,7.481,699.7,,,,
362,07/10/21 02:55:00 PM,7.481,936.5,,,,
363,07/10/21 03:00:00 PM,7.582,1194.8,,,,
364,07/10/21 03:05:00 PM,7.582,3444.5,,,,
365,07/10/21 03:10:00 PM,7.481,1808.3,,,,
366,07/10/21 03:15:00 PM,7.582,699.7,,,,
367,07/10/21 03:20:00 PM,7.582,473.6,,,,
368,07/10/21 03:25:00 PM,7.582,602.8,,,,
369,07/10/21 03:30:00 PM,7.582,882.6,,,,
370,07/10/21 03:35:00 PM,7.582,430.6,,,,
371,07/10/21 03:40:00 PM,7.582,688.9,,,,
372,07/10/21 03:45:00 PM,7.582,1377.8,,,,
373,07/10/21 03:50:00 PM,7.582,1054.9,,,,
374,07/10/21 03:55:00 PM,7.582,818.1,,,,
375,07/10/21 04:00:00 PM,7.582,549.0,,,,
376,07/10/21 04:05:00 PM,7.582,818.1,,,,
377,07/10/21 04:10:00 PM,7.582,215.3,,,,
378,07/10/21 04:15:00 PM,7.582,495.1,,,,
379,07/10/21 04:20:00 PM,7.582,366.0,,,,
380,07/10/21 04:25:00 PM,7.582,312.2,,,,
381,07/10/21 04:30:00 PM,7.582,387.5,,,,
382,07/10/21 04:35:00 PM,7.582,731.9,,,,
383,07/10/21 04:40:00 PM,7.582,441.3,,,,
384,07/10/21 04:45:00 PM,7.582,473.6,,,,
385,07/10/21 04:50:00 PM,7.582,559.7,,,,
386,07/10/21 04:55:00 PM,7.582,301.4,,,,
387,07/10/21 05:00:00 PM,7.582,279.9,,,,
388,07/10/21 05:05:00 PM,7.582,398.3,,,,
389,07/10/21 05:10:00 PM,7.582,721.2,,,,
390,07/10/21 05:15:00 PM,7.582,86.1,,,,
391,07/10/21 05:20:00 PM,7.582,559.7,,,,
392,07/10/21 05:25:00 PM,7.582,247.6,,,,
393,07/10/21 05:30:00 PM,7.582,161.5,,,,
394,07/10/21 05:35:00 PM,7.582,1033.3,,,,
395,07/10/21 05:40:00 PM,7.582,269.1,,,,
396,07/10/21 05:45:00 PM,7.582,645.8,,,,
397,07/10/21 05:50:00 PM,7.582,516.7,,,,
398,07/10/21 05:55:00 PM,7.582,247.6,,,,
399,07/10/21 06:00:00 PM,7.582,193.8,,,,
400,07/10/21 06:05:00 PM,7.582,549.0,,,,
401,07/10/21 06:10:00 PM,7.582,107.6,,,,
