Device Name:,,OM-CP-VOLT101A,,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,,
Serial Number:,,R37297,,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,,
,,,,,,,,,,,
,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes,Notes_2
7/5/2021,1:08:10 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:15 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:20 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:25 PM,296,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:30 PM,296,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:35 PM,286,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:40 PM,281,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:45 PM,276,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:50 PM,281,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:55 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:00 PM,296,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:05 PM,301,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:10 PM,301,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:15 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:20 PM,276,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:25 PM,266,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:30 PM,276,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:35 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:40 PM,316,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:45 PM,336,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:50 PM,366,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:09:55 PM,406,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:10:00 PM,456,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:05 PM,501,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:10 PM,541,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:15 PM,576,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:20 PM,606,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:25 PM,651,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:30 PM,701,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:35 PM,772,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:40 PM,847,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:45 PM,922,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:50 PM,992,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:10:55 PM,1062,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:00 PM,1122,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:05 PM,1177,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:10 PM,1238,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:15 PM,1298,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:20 PM,1358,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:25 PM,1398,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:30 PM,1443,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:35 PM,1488,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:40 PM,1548,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:45 PM,1603,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:50 PM,1663,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:11:55 PM,1724,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:00 PM,1784,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:05 PM,1839,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:10 PM,1894,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:15 PM,1939,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:20 PM,1994,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:25 PM,2039,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:30 PM,2089,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:35 PM,2139,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:40 PM,2185,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:45 PM,2235,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:50 PM,2285,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:12:55 PM,2340,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:00 PM,2390,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:05 PM,2435,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:10 PM,2470,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:15 PM,2505,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:20 PM,2525,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:25 PM,2545,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:30 PM,2565,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:35 PM,2585,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:40 PM,2610,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
