"","lon_fit","lat_fit","lon_dist","lat_dist","lon","lat","ele","time","lat_wypt","lon_wypt","ele_wypt","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","VaisalaType","Total_hPa","GAVI_waterTempAve","ele_fit","slope","ante_slope","dist"
"220",-78.1940036709127,-0.31476341296339,-78.1940020689028,-0.31476441296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.25607465733,0.0531364917272918,0.0180424255713933,437.471852300453
"218",-78.194000471317,-0.31476541296339,-78.1939988781426,-0.31476641296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.26027497487,0.0564741551960364,0.0180242125818265,437.262045228224
"217",-78.1939988781426,-0.31476641296339,-78.193997289367,-0.31476741296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.26236888473,0.0599417326377302,0.0182535287768775,437.052654242429
"216",-78.193997289367,-0.31476741296339,-78.1939957049773,-0.31476841296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.26445864892,0.0635361035867666,0.0182344193944882,436.843677823812
"215",-78.1939957049773,-0.31476841296339,-78.1939941249609,-0.31476941296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.26654428272,0.0672541700728355,0.0182150086668004,436.6351144432
"214",-78.1939941249609,-0.31476941296339,-78.1939925493051,-0.31477041296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.26862580137,0.071092856237228,0.0182141851654799,436.426962578327
"213",-78.1939925493051,-0.31477041296339,-78.193990977997,-0.31477141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.27070322005,0.0750491090447035,0.0181943739857727,436.219220710219
"212",-78.193990977997,-0.31477141296339,-78.1939894110241,-0.31477241296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.27277655398,0.0791198980933654,0.0181742790168445,436.011887317243
"211",-78.1939894110241,-0.31477241296339,-78.1939878483736,-0.31477341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.27484581834,0.083528215678419,0.0181539075024911,435.804960881079
"210",-78.1939878483736,-0.31477341296339,-78.1939862900327,-0.31477441296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.27691102835,0.0878186945763957,0.0181332666237334,435.598439880783
