"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"16475",-0.328874013073492,-78.2015955778115,-78.2015955645903,-0.328874113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.88482225461,0.0112288178509061,30.4989215881382,-0.10497103233431
"16474",-0.328874113073492,-78.2015955645903,-78.2015955513417,-0.328874213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.88227612391,0.0112292173427022,30.5101508054809,-0.105015849817355
"16473",-0.328874213073492,-78.2015955513417,-78.2015955380658,-0.328874313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.87972693218,0.0112296176513667,30.5213804231323,-0.105060733235908
"16472",-0.328874313073492,-78.2015955380658,-78.2015955247626,-0.328874413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.87717467231,0.0112300170795834,30.5326104402118,-0.105105682750975
"16471",-0.328874413073492,-78.2015955247626,-78.2015955114323,-0.328874513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.87461933761,0.0112304160023484,30.5438408562142,-0.105150698509321
"16470",-0.328874513073492,-78.2015955114323,-78.2015954980749,-0.328874613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.87206092127,0.0112308147976705,30.5550716710119,-0.105195780659137
"16469",-0.328874613073492,-78.2015954980749,-78.2015954846905,-0.328874713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.86949941641,0.011231213636762,30.5663028846486,-0.105240929350452
"16468",-0.328874713073492,-78.2015954846905,-78.2015954712792,-0.328874813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.8669348161,0.011231611186389,30.577534495835,-0.105286144739264
"16467",-0.328874813073492,-78.2015954712792,-78.201595457841,-0.328874913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.86436711373,0.0112320089596096,30.5887665047946,-0.105331426965908
"16466",-0.328874913073492,-78.201595457841,-78.2015954443761,-0.328875013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.86179630231,0.0112324060080482,30.5999989108027,-0.105376776185362
