"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"179",525.6895598,540,56,73,3924.699707,10,0.051238891,0.070177963,170.6283,"Colm"
"180",535.2947473,550,37,72,3924.357666,10,0.051238891,0.042167787,170.6301,"Colm"
"181",539.6931612,560,55,41,3923.982178,10,0.072796809,0.051238891,171.063,"Colm"
"182",544.0915752,570,96,67,3923.717285,10,0.062528107,0.072796809,171.0639,"Colm"
"183",548.4899891,580,50,40,3923.432129,10,0.068661569,0.062528107,171.0648,"Colm"
"184",552.888403,590,100,100,3923.113281,10,0.077875686,0.068661569,171.0657,"Colm"
"185",557.2868169,600,116,80,3922.74707,10,0.039792336,0.077875686,171.2421,"Colm"
"186",566.9506585,610,26,95,3922.553711,10,0.019339048,0.039792336,172.2924,"Colm"
"187",576.6145001,620,16,120,3922.373291,10,0.022635926,0.019339048,172.3779,"Colm"
"188",581.4464209,625,NA,NA,3922.308838,NA,NA,NA,172.3824,"Colm"
"189",583.8437892,NA,NA,NA,3922.213623,NA,NA,NA,172.4148,"Colm"
"190",586.2783417,630,45,130,3922.116211,10,0.028269658,NA,172.4193,"Colm"
"191",595.9421833,640,13,71,3921.826904,10,0.006367714,0.028269658,172.4841,"Colm"
"192",605.606025,650,13,20,3921.699951,10,0.006367714,0.021536984,172.5237,"Colm"
"193",611.138713,NA,NA,NA,3921.699951,NA,NA,NA,172.5246,"Colm"
"194",615.879165,660,38,40,3921.699951,10,0,0.006367714,172.5255,"Colm"
"195",626.1523051,670,70,60,3921.699951,10,0,0,172.5273,"Colm"
"196",630.2615611,674,NA,NA,3921.699951,NA,NA,NA,172.5282,"Colm"
"197",636.4254452,680,45,140,3921.699951,10,0,0,172.53,"Colm"
"198",646.6985853,690,60,60,3921.699951,10,0,0,173.0916,"Colm"
"199",656.2029733,NA,NA,NA,3921.699951,NA,NA,NA,173.1636,"Colm"
"200",656.9717253,700,35,90,3921.699951,10,0.012053589,0,173.5299,"Colm"
"201",680.2806988,720,20,40,3921.295166,10,0.012053589,0.017366059,174.1104,"Colm"
"202",687.5236374,760,22,92,3920.249023,10,0.047109253,0.047490579,174.5982,"Colm"
"203",703.3632552,770,57,130,3920.207764,10,0.016110971,0.047109253,174.6387,"Colm"
"204",704.947217,771,NA,NA,3920.207764,NA,NA,NA,174.6387,"Colm"
"205",705.6929331,750,10,43,3920.541748,10,0.04167822,0.016110971,174.3192,"Colm"
"206",705.8818349,730,45,144,3921.01416,10,0.027255166,0.04167822,174.2571,"Colm"
"207",705.9762857,740,55,65,3920.751953,10,0.068949273,0.027255166,174.3048,"Colm"
"208",706.0235111,745,NA,NA,3920.751953,NA,NA,NA,174.3048,"Colm"
"209",706.0707366,710,62,80,3921.527832,10,0.018759683,0.068949273,173.9241,"Colm"
"210",711.8209568,780,54,109,3919.793213,10,0.053757363,0.018759683,174.6846,"Colm"
"211",719.4584456,790,9,135,3919.342529,10,0.04566357,0.053757363,174.7476,"Colm"
"212",727.0959343,800,24,85,3919.095703,10,0.043582438,0.04566357,174.7989,"Colm"
"213",736.1014107,810,29,115,3918.617188,10,0.065064576,0.043582438,175.0617,"Colm"
"214",745.1068871,820,24,120,3917.923828,10,0.055386242,0.065064576,175.2579,"Colm"
"215",754.1123636,830,24,130,3917.619629,10,0.016889667,0.055386242,175.3623,"Colm"
"216",763.11784,840,35,124,3917.619629,10,0,0.016889667,175.4271,"Colm"
"217",772.1233165,850,20,136,3917.619629,10,0,0,175.4829,"Colm"
"218",785.6321834,860,20,75,3917.619629,10,0,0,175.5414,"Colm"
"219",799.1410503,870,38,164,3917.619629,10,0,0,175.6143,"Colm"
"220",812.6499172,880,42,92,3917.619629,10,0.065007229,0,175.6404,"Colm"
"221",816.7025773,883,NA,NA,3917.619629,NA,NA,NA,177.6636,"Colm"
"222",826.1587841,890,8,157,3915.863281,10,0.29658525,0.065007229,177.6672,"Colm"
"223",838.1040354,921,16,142,3910.070313,NA,NA,NA,187.6824,"Colm"
"224",839.667651,902,NA,NA,3912.754883,NA,NA,NA,177.6834,"Colm"
"225",839.667651,915,NA,NA,3911.470215,NA,NA,NA,177.6834,"Colm"
"226",839.667651,900,11,182,3912.754883,10,0.325198703,0.21183237,177.6906,"Colm"
"227",839.667651,910,35,163,3911.470215,10,0.428827084,0.267772448,177.6906,"Colm"
"228",839.667651,920,27,102,3910.070313,10,0.369653917,0.428827084,187.6824,"Colm"
"229",847.9696001,930,19,164,3908.401367,10,0.194413348,0.342119891,187.6977,"Colm"
"230",858.9313386,940,22,150,3906.325195,10,0.105669826,0.194413348,187.7085,"Colm"
"231",869.8930772,950,28,165,3906.084717,10,0.012816114,0.105669826,188.3124,"Colm"
"232",877.6950609,960,20,143,3906.084717,10,0,0.012816114,188.3232,"Colm"
"233",879.2554576,962,NA,NA,3906.084717,NA,NA,NA,188.3502,"Colm"
